Date,Open,High,Low,Close,Volume
2026-02-12 09:38:00,2789.0,2789.0,2776.0,2779.9,173223
2026-02-12 09:39:00,2779.9,2786.7,2778.7,2786.5,76176
2026-02-12 09:40:00,2786.5,2787.2,2782.8,2787.0,38714
2026-02-12 09:41:00,2788.4,2789.5,2786.4,2789.3,29871
2026-02-12 09:42:00,2789.4,2793.8,2788.3,2788.3,54432
2026-02-12 09:43:00,2788.3,2790.9,2787.0,2788.8,42311
2026-02-12 09:44:00,2788.7,2791.7,2788.7,2790.3,20280
2026-02-12 09:45:00,2790.1,2791.0,2788.3,2788.9,19017
2026-02-12 09:46:00,2788.9,2789.0,2786.1,2787.0,25748
2026-02-12 09:47:00,2786.9,2789.7,2786.2,2788.5,21268
2026-02-12 09:48:00,2788.5,2798.0,2788.5,2798.0,31768
2026-02-12 09:49:00,2798.0,2810.9,2798.0,2808.0,175323
2026-02-12 09:50:00,2808.0,2812.0,2806.3,2810.9,59226
2026-02-12 09:51:00,2810.9,2811.1,2796.1,2797.0,383024
2026-02-12 09:52:00,2798.1,2799.0,2793.1,2793.4,41214
2026-02-12 09:53:00,2793.5,2795.7,2792.9,2795.4,36749
2026-02-12 09:54:00,2795.0,2799.0,2795.0,2797.5,55561
2026-02-12 09:55:00,2797.5,2799.5,2796.5,2797.6,16895
2026-02-12 09:56:00,2797.7,2799.3,2796.7,2798.2,16113
2026-02-12 09:57:00,2798.1,2799.0,2796.9,2798.5,15576
2026-02-12 09:58:00,2798.5,2799.6,2796.6,2796.6,29197
2026-02-12 09:59:00,2797.0,2798.9,2793.8,2794.9,50019
2026-02-12 10:00:00,2794.9,2795.7,2792.9,2794.3,20754
2026-02-12 10:01:00,2794.3,2796.6,2793.7,2795.4,12266
2026-02-12 10:02:00,2795.4,2796.5,2794.0,2795.6,12409
2026-02-12 10:03:00,2796.2,2798.5,2795.9,2797.5,13803
2026-02-12 10:04:00,2797.5,2800.0,2797.3,2800.0,24541
2026-02-12 10:05:00,2799.7,2804.4,2798.8,2802.9,44304
2026-02-12 10:06:00,2803.3,2804.6,2799.0,2800.0,31210
2026-02-12 10:07:00,2800.0,2800.0,2797.0,2798.5,10548
2026-02-12 10:08:00,2798.5,2798.6,2795.4,2796.3,19166
2026-02-12 10:09:00,2795.8,2798.1,2795.8,2797.6,7686
2026-02-12 10:10:00,2797.6,2797.6,2791.6,2794.9,36280
2026-02-12 10:11:00,2794.9,2798.0,2794.8,2797.3,10370
2026-02-12 10:12:00,2796.7,2798.3,2795.8,2797.9,17078
2026-02-12 10:13:00,2797.9,2799.7,2797.6,2799.2,20820
2026-02-12 10:14:00,2799.2,2799.2,2796.2,2798.0,11623
2026-02-12 10:15:00,2798.3,2800.0,2798.1,2800.0,16612
